episode,reward,length
1,0.0,1
2,0.0,3
3,0.0,4
4,0.0,3
5,0.0,2
6,0.0,8
7,0.0,2
8,0.0,8
9,0.0,3
10,0.0,1
11,0.0,3
12,0.0,5
13,0.0,3
14,0.0,2
15,0.0,1
16,0.0,10
17,0.0,1
18,0.0,5
19,0.985938,4
20,0.0,3
21,0.0,4
22,0.0,1
23,0.0,9
24,0.0,1
25,0.996484,1
26,0.0,5
27,0.0,2
28,0.0,2
29,0.0,2
30,0.0,3
31,0.0,2
32,0.0,4
33,0.0,2
34,0.0,7
35,0.0,3
36,0.0,1
37,0.0,5
38,0.0,3
39,0.0,1
40,0.0,1
41,0.0,1
42,0.0,1
43,0.0,1
44,0.0,2
45,0.0,2
46,0.0,2
47,0.0,3
48,0.0,3
49,0.0,1
50,0.0,8
51,0.0,2
52,0.0,4
53,0.0,2
54,0.0,1
55,0.0,2
56,0.0,1
57,0.0,1
58,0.0,1
59,0.0,3
60,0.996484,1
61,0.0,3
62,0.0,3
63,0.0,1
64,0.0,1
65,0.0,2
66,0.0,3
67,0.0,3
68,0.0,1
69,0.0,2
70,0.0,1
71,0.0,2
72,0.0,1
73,0.0,6
74,0.0,1
75,0.0,2
76,0.0,1
77,0.0,1
78,0.0,2
79,0.0,5
80,0.0,1
81,0.0,2
82,0.0,3
83,0.0,1
84,0.0,4
85,0.0,1
86,0.961328,11
87,0.0,2
88,0.0,3
89,0.0,2
90,0.0,4
91,0.0,2
92,0.0,5
93,0.0,4
94,0.0,11
95,0.0,8
96,0.0,5
97,0.0,6
98,0.0,1
99,0.0,1
100,0.0,2
101,0.0,1
102,0.0,2
103,0.0,2
104,0.0,1
105,0.0,2
106,0.996484,1
107,0.0,1
108,0.0,4
109,0.0,3
110,0.0,2
111,0.0,5
112,0.0,1
113,0.0,1
114,0.0,4
115,0.0,3
116,0.0,2
117,0.0,5
118,0.0,11
119,0.0,3
120,0.0,13
121,0.0,4
122,0.0,3
123,0.0,2
124,0.992969,2
125,0.0,7
126,0.0,2
127,0.0,1
128,0.0,1
129,0.0,8
130,0.0,7
131,0.0,3
132,0.0,2
133,0.0,4
134,0.0,1
135,0.0,3
136,0.989453,3
137,0.0,9
138,0.0,3
139,0.0,6
140,0.0,7
141,0.0,1
142,0.0,7
143,0.0,1
144,0.0,2
145,0.0,8
146,0.0,1
147,0.0,5
148,0.0,1
149,0.0,2
150,0.0,9
151,0.0,1
152,0.0,1
153,0.0,1
154,0.0,2
155,0.0,3
156,0.0,2
157,0.0,3
158,0.985938,4
159,0.0,1
160,0.0,8
161,0.0,3
162,0.0,5
163,0.0,1
164,0.0,2
165,0.0,2
166,0.0,7
167,0.0,3
168,0.0,1
169,0.0,3
170,0.0,2
171,0.0,5
172,0.0,3
173,0.0,3
174,0.0,1
175,0.0,6
176,0.0,6
177,0.0,6
178,0.0,3
179,0.0,5
180,0.0,8
181,0.0,2
182,0.0,7
183,0.0,8
184,0.0,1
185,0.0,3
186,0.0,6
187,0.0,1
188,0.0,8
189,0.0,6
190,0.0,1
191,0.0,1
192,0.0,2
193,0.0,2
194,0.0,1
195,0.0,10
196,0.0,3
197,0.0,7
198,0.0,1
199,0.0,1
200,0.0,20
201,0.0,2
202,0.0,14
203,0.0,4
204,0.0,4
205,0.0,6
206,0.0,1
207,0.0,2
208,0.0,1
209,0.0,9
210,0.0,1
211,0.0,16
212,0.0,8
213,0.0,1
214,0.0,3
215,0.0,4
216,0.0,1
217,0.0,6
218,0.0,3
219,0.0,3
220,0.0,2
221,0.0,3
222,0.996484,1
223,0.0,6
224,0.0,1
225,0.0,4
226,0.0,3
227,0.0,11
228,0.0,4
229,0.0,18
230,0.0,4
231,0.0,4
232,0.0,4
233,0.0,1
234,0.0,3
235,0.0,2
236,0.0,5
237,0.0,1
238,0.0,1
239,0.0,1
240,0.0,5
241,0.0,1
242,0.0,3
243,0.0,6
244,0.0,1
245,0.0,2
246,0.0,5
247,0.0,1
248,0.0,1
249,0.0,6
250,0.0,3
251,0.0,5
252,0.0,4
253,0.0,5
254,0.0,4
255,0.0,1
256,0.0,1
257,0.0,2
258,0.0,8
259,0.0,2
260,0.0,1
261,0.0,6
262,0.0,2
263,0.0,1
264,0.0,2
265,0.0,4
266,0.0,2
267,0.0,4
268,0.0,11
269,0.0,7
270,0.0,9
271,0.0,1
272,0.0,1
273,0.0,7
274,0.0,5
275,0.0,1
276,0.0,1
277,0.0,1
278,0.0,1
279,0.0,2
280,0.0,1
281,0.0,3
282,0.0,14
283,0.0,6
284,0.0,8
285,0.0,1
286,0.0,10
287,0.0,1
288,0.0,3
289,0.0,3
290,0.0,3
291,0.0,8
292,0.0,4
